Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Pierre-Luc,Dusseault,Sherbrooke,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Scott,Duvall,Hamilton Mountain,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Jim,Eglinski,Yellowhead,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Neil,Ellis,Bay of Quinte,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Mark,Eyking,Sydney—Victoria,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Doug,Eyolfson,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2017-12-11 12:00:00 AM,2019-10-20 11:59:59 PM
,Ted,Falk,Provencher,Manitoba,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Diane,Finley,Haldimand—Norfolk,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Pat,Finnigan,Miramichi—Grand Lake,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Judy,Foote,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2015-10-19 12:00:00 AM,2017-09-30 11:59:59 PM
,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2017-04-03 12:00:00 AM,2019-10-20 11:59:59 PM
,Rhéal,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Colin,Fraser,West Nova,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Stephen,Fuhr,Kelowna—Lake Country,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
